date,close,change,pct,open,high,low,volume,fetch_time
2024-07-24,2413.30,8.70,0.36,2421.00,2421.00,2411.60,6,
2024-07-25,2351.90,-61.40,-2.54,2365.50,2365.50,2351.90,31,
2024-07-26,2380.00,28.10,1.19,2368.70,2386.90,2368.70,95,
2024-07-29,2377.30,-2.70,-0.11,2377.30,2377.30,2377.30,126409,
2024-07-30,2405.00,27.70,1.17,2380.90,2409.30,2373.80,25944,
2024-07-31,2426.50,21.50,0.89,2407.10,2447.60,2402.80,1313,
2024-08-01,2435.00,8.50,0.35,2446.70,2455.10,2430.40,690,
2024-08-02,2425.70,-9.30,-0.38,2444.00,2477.00,2416.00,550,
2024-08-05,2401.70,-24.00,-0.99,2442.00,2449.80,2367.40,334,
2024-08-06,2389.10,-12.60,-0.52,2414.50,2421.80,2380.00,163,
2024-08-07,2390.50,1.40,0.06,2392.20,2401.00,2384.50,130,
2024-08-08,2422.20,31.70,1.33,2384.30,2422.80,2384.30,201,
2024-08-09,2432.10,9.90,0.41,2422.30,2432.10,2418.50,611,
2024-08-12,2462.40,30.30,1.25,2432.70,2469.80,2432.00,566,
2024-08-13,2466.70,4.30,0.17,2461.00,2470.00,2456.50,510,
2024-08-14,2439.40,-27.30,-1.11,2468.00,2472.10,2439.40,274,
2024-08-15,2453.10,13.70,0.56,2451.80,2467.70,2431.20,285,
2024-08-16,2498.60,45.50,1.85,2453.50,2508.00,2451.40,197,
2024-08-19,2501.80,3.20,0.13,2508.50,2508.50,2487.20,88,
2024-08-20,2511.30,9.50,0.38,2503.50,2527.30,2500.70,187,
2024-08-21,2508.40,-2.90,-0.12,2511.00,2515.40,2503.90,96,
2024-08-22,2478.90,-29.50,-1.18,2504.10,2504.10,2471.10,210,
2024-08-23,2508.40,29.50,1.19,2486.50,2508.40,2486.50,94,
2024-08-26,2517.70,9.30,0.37,2509.90,2523.10,2509.10,290,
2024-08-27,2516.00,-1.70,-0.07,2515.20,2523.10,2506.90,100,
2024-08-28,2501.00,-15.00,-0.60,2501.00,2501.00,2501.00,2353,
2024-08-29,2525.70,24.70,0.99,2504.10,2525.70,2503.90,3966,
2024-08-30,2493.80,-31.90,-1.26,2519.50,2525.40,2493.80,208,
2024-09-03,2489.90,-3.90,-0.16,2501.60,2501.80,2476.30,206,
2024-09-04,2493.40,3.50,0.14,2490.90,2493.40,2483.50,470,
2024-09-05,2511.40,18.00,0.72,2493.70,2513.30,2493.40,54,
2024-09-06,2493.50,-17.90,-0.71,2510.30,2517.90,2483.70,96,
2024-09-09,2501.80,8.30,0.33,2491.30,2504.70,2491.30,96,
2024-09-10,2512.30,10.50,0.42,2512.30,2512.30,2512.30,5,
2024-09-11,2512.10,-0.20,-0.01,2525.80,2525.80,2502.30,90,
2024-09-12,2551.20,39.10,1.56,2529.10,2557.00,2523.40,132,
2024-09-13,2581.30,30.10,1.18,2568.80,2581.80,2565.00,31,
2024-09-16,2580.40,-0.90,-0.03,2580.40,2580.40,2580.40,28,
2024-09-17,2564.30,-16.10,-0.62,2581.20,2581.80,2564.30,22,
2024-09-18,2570.70,6.40,0.25,2570.70,2570.70,2549.20,25,
2024-09-19,2588.00,17.30,0.67,2566.00,2588.00,2566.00,99,
2024-09-20,2619.90,31.90,1.23,2590.40,2621.80,2590.40,17,
2024-09-23,2626.50,6.60,0.25,2626.50,2626.50,2626.50,9,
2024-09-24,2651.20,24.70,0.94,2636.80,2662.30,2625.50,35,
2024-09-25,2659.20,8.00,0.30,2656.30,2664.20,2649.30,175,
2024-09-26,2669.90,10.70,0.40,2662.30,2669.90,2660.80,17216,
2024-09-27,2644.30,-25.60,-0.96,2670.00,2672.10,2641.70,4228,
2024-09-30,2636.10,-8.20,-0.31,2660.90,2662.10,2623.20,973,
2024-10-01,2667.30,31.20,1.18,2631.40,2670.90,2631.40,153,
2024-10-02,2647.10,-20.20,-0.76,2650.60,2657.20,2640.00,72,
2024-10-03,2657.10,10.00,0.38,2642.80,2657.10,2640.00,354,
2024-10-04,2645.80,-11.30,-0.43,2656.00,2667.00,2639.00,114,
2024-10-07,2644.80,-1.00,-0.04,2648.70,2657.40,2639.00,284,
2024-10-08,2615.00,-29.80,-1.13,2639.00,2639.00,2609.30,687,
2024-10-09,2606.00,-9.00,-0.34,2603.00,2607.70,2603.00,152,
2024-10-10,2620.60,14.60,0.56,2602.50,2628.30,2602.50,320,
